peak_date,trough_date,recovery_date,depth,peak_to_trough_days,trough_to_recovery_days,total_days,recovered,ticker
2005-02-25,2005-02-28,2005-03-04,-0.006834957756460369,3,4.0,7.0,True,SPY
2005-03-07,2005-04-20,2005-07-14,-0.0734619866252364,44,85.0,129.0,True,SPY
2005-07-14,2005-07-18,2005-07-19,-0.004885665516416227,4,1.0,5.0,True,SPY
2005-07-20,2005-07-21,2005-07-22,-0.005607376535334385,1,1.0,2.0,True,SPY
2005-07-22,2005-07-25,2005-07-27,-0.002900822301815542,3,2.0,5.0,True,SPY
2005-07-28,2005-08-01,2005-08-03,-0.007570587378539773,4,2.0,6.0,True,SPY
2005-08-03,2005-10-13,2005-11-18,-0.058758934507978755,71,36.0,107.0,True,SPY
2005-11-25,2005-11-30,2005-12-13,-0.013751672838203777,5,13.0,18.0,True,SPY
2005-12-14,2005-12-30,2006-01-06,-0.025912099410319023,16,7.0,23.0,True,SPY
2006-01-11,2006-02-07,2006-02-24,-0.029831255217838804,27,17.0,44.0,True,SPY
2006-02-27,2006-03-09,2006-03-14,-0.015638610817965692,10,5.0,15.0,True,SPY
2006-03-16,2006-04-11,2006-04-20,-0.018277591476985933,26,9.0,35.0,True,SPY
2006-04-21,2006-04-25,2006-04-28,-0.006116963456331392,4,3.0,7.0,True,SPY
2006-04-28,2006-05-01,2006-05-05,-0.008134169427354454,3,4.0,7.0,True,SPY
2006-05-05,2006-05-08,2006-05-09,-0.0011344965182693567,3,1.0,4.0,True,SPY
2006-05-09,2006-06-13,2006-09-26,-0.07591197365463731,35,105.0,140.0,True,SPY
2006-09-27,2006-10-02,2006-10-04,-0.004730653276074359,5,2.0,7.0,True,SPY
2006-10-05,2006-10-06,2006-10-10,-0.0012655315232398268,1,4.0,5.0,True,SPY
2006-10-10,2006-10-11,2006-10-12,-0.0012838569361808272,1,1.0,2.0,True,SPY
2006-10-16,2006-10-17,2006-10-20,-0.0031824811987345436,1,3.0,4.0,True,SPY
2006-10-26,2006-11-03,2006-11-08,-0.01583342674588062,8,5.0,13.0,True,SPY
2006-11-08,2006-11-09,2006-11-14,-0.0049926743003256835,1,5.0,6.0,True,SPY
2006-11-22,2006-11-27,2006-12-04,-0.017685035314891073,5,7.0,12.0,True,SPY
2006-12-05,2006-12-07,2006-12-14,-0.005343734585381066,2,7.0,9.0,True,SPY
2006-12-14,2007-01-05,2007-01-12,-0.01785148218927468,22,7.0,29.0,True,SPY
2007-01-12,2007-01-22,2007-01-24,-0.005899544866400652,10,2.0,12.0,True,SPY
2007-01-24,2007-01-29,2007-02-01,-0.013450734658599806,5,3.0,8.0,True,SPY
2007-02-07,2007-02-12,2007-02-14,-0.01211980579751537,5,2.0,7.0,True,SPY
2007-02-15,2007-02-16,2007-02-20,-0.000613393309568111,1,4.0,5.0,True,SPY
2007-02-20,2007-03-05,2007-04-16,-0.05945682080411818,13,42.0,55.0,True,SPY
2007-04-18,2007-04-19,2007-04-20,-0.0002463812750230776,1,1.0,2.0,True,SPY
2007-04-20,2007-04-23,2007-04-25,-0.0039155497030636255,3,2.0,5.0,True,SPY
2007-04-26,2007-04-30,2007-05-03,-0.009206252977092655,4,3.0,7.0,True,SPY
2007-05-07,2007-05-08,2007-05-09,-0.0015023909478798503,1,1.0,2.0,True,SPY
2007-05-09,2007-05-10,2007-05-16,-0.010656630172923842,1,6.0,7.0,True,SPY
2007-05-16,2007-05-17,2007-05-18,-0.0017782945471332967,1,1.0,2.0,True,SPY
2007-05-18,2007-05-24,2007-05-30,-0.009919826063323867,6,6.0,12.0,True,SPY
2007-05-30,2007-05-31,2007-06-01,-0.0010555381978163414,1,1.0,2.0,True,SPY
2007-06-04,2007-06-26,2007-07-12,-0.03784629358631475,22,16.0,38.0,True,SPY
2007-07-13,2007-07-18,2007-07-19,-0.0024023571560108925,5,1.0,6.0,True,SPY
2007-07-19,2007-08-15,2007-10-05,-0.09038254197765094,27,51.0,78.0,True,SPY
2007-10-05,2007-10-08,2007-10-09,-0.005488109096956628,3,1.0,4.0,True,SPY
2007-10-09,2009-03-09,2013-01-25,-0.5647328750103537,517,1418.0,1935.0,True,SPY
2013-01-25,2013-01-28,2013-01-29,-0.001281214095008254,3,1.0,4.0,True,SPY
2013-01-29,2013-01-31,2013-02-01,-0.00631429701925601,2,1.0,3.0,True,SPY
2013-02-01,2013-02-04,2013-02-08,-0.011306254156711049,3,4.0,7.0,True,SPY
2013-02-08,2013-02-11,2013-02-12,-0.00022087696335082452,3,1.0,4.0,True,SPY
2013-02-14,2013-02-15,2013-02-19,-0.0011007379020749886,1,4.0,5.0,True,SPY
2013-02-19,2013-02-25,2013-03-05,-0.02776157137300661,6,8.0,14.0,True,SPY
2013-03-11,2013-03-12,2013-03-14,-0.002284322543159356,1,2.0,3.0,True,SPY
2013-03-14,2013-03-21,2013-03-26,-0.010689043136509091,7,5.0,12.0,True,SPY
2013-03-28,2013-04-01,2013-04-02,-0.004071680515114973,4,1.0,5.0,True,SPY
2013-04-02,2013-04-05,2013-04-10,-0.01079964684366519,3,5.0,8.0,True,SPY
2013-04-11,2013-04-18,2013-04-29,-0.0317567567567566,7,11.0,18.0,True,SPY
2013-04-30,2013-05-01,2013-05-02,-0.00880303499535462,1,1.0,2.0,True,SPY
2013-05-08,2013-05-09,2013-05-10,-0.003050280429007124,1,1.0,2.0,True,SPY
2013-05-15,2013-05-16,2013-05-17,-0.004643928287030419,1,1.0,2.0,True,SPY
2013-05-17,2013-05-20,2013-05-21,-7.408011023113392e-05,3,1.0,4.0,True,SPY
2013-05-21,2013-06-24,2013-07-11,-0.05545036316030827,34,17.0,51.0,True,SPY
2013-07-15,2013-07-16,2013-07-18,-0.0034373560150073867,1,2.0,3.0,True,SPY
2013-07-22,2013-07-24,2013-08-01,-0.0061665251993238135,2,8.0,10.0,True,SPY
2013-08-02,2013-08-27,2013-09-17,-0.04449208941586169,25,21.0,46.0,True,SPY
2013-09-18,2013-10-08,2013-10-17,-0.03911297487472898,20,9.0,29.0,True,SPY
2013-10-22,2013-10-23,2013-10-25,-0.004876653457610125,1,2.0,3.0,True,SPY
2013-10-29,2013-10-31,2013-11-06,-0.007730516542200028,2,6.0,8.0,True,SPY
2013-10-29,2013-11-07,2013-11-08,-0.012621674461661736,9,1.0,10.0,True,SPY
2013-11-11,2013-11-12,2013-11-13,-0.001987893178351352,1,1.0,2.0,True,SPY
2013-11-15,2013-11-20,2013-11-22,-0.008605922179623082,5,2.0,7.0,True,SPY
2013-11-22,2013-11-25,2013-11-27,-0.0010964615426264368,3,2.0,5.0,True,SPY
2013-11-27,2013-12-05,2013-12-09,-0.012088899700649303,8,4.0,12.0,True,SPY
2013-12-09,2013-12-13,2013-12-18,-0.018147718379793232,4,5.0,9.0,True,SPY
2013-12-18,2013-12-19,2013-12-20,-0.001232456022197792,1,1.0,2.0,True,SPY
2013-12-26,2013-12-30,2013-12-31,-0.0002648427827031119,4,1.0,5.0,True,SPY
2013-12-31,2014-02-03,2014-02-24,-0.0571566023685095,34,21.0,55.0,True,SPY
2014-02-24,2014-02-25,2014-02-27,-0.00038178239719866003,1,2.0,3.0,True,SPY
2014-02-28,2014-03-03,2014-03-04,-0.006880913795807353,3,1.0,4.0,True,SPY
2014-03-07,2014-03-14,2014-04-01,-0.019054947044446324,7,18.0,25.0,True,SPY
2014-04-02,2014-04-11,2014-05-12,-0.038919619595210286,9,31.0,40.0,True,SPY
2014-05-13,2014-05-15,2014-05-23,-0.013606527050388229,2,8.0,10.0,True,SPY
2014-05-27,2014-05-28,2014-05-29,-0.0007150269558834355,1,1.0,2.0,True,SPY
2014-06-02,2014-06-03,2014-06-04,-0.0004775189122621093,1,1.0,2.0,True,SPY
2014-06-10,2014-06-12,2014-06-18,-0.010366514855779663,2,6.0,8.0,True,SPY
2014-06-20,2014-06-24,2014-07-01,-0.006487431371100749,4,7.0,11.0,True,SPY
2014-07-03,2014-07-17,2014-07-22,-0.012589293320190431,14,5.0,19.0,True,SPY
2014-07-24,2014-08-07,2014-08-20,-0.03829177519139826,14,13.0,27.0,True,SPY
2014-08-21,2014-08-22,2014-08-25,-0.0016324260269169333,1,3.0,4.0,True,SPY
2014-08-26,2014-08-28,2014-08-29,-0.0008429012661580471,2,1.0,3.0,True,SPY
2014-08-29,2014-09-04,2014-09-05,-0.0023978221284728374,6,1.0,7.0,True,SPY
2014-09-05,2014-09-15,2014-09-18,-0.01078351405815181,10,3.0,13.0,True,SPY
2014-09-18,2014-10-16,2014-10-31,-0.07275563071811453,28,15.0,43.0,True,SPY
2014-11-03,2014-11-04,2014-11-05,-0.003540023084520283,1,1.0,2.0,True,SPY
2014-11-11,2014-11-12,2014-11-13,-0.0011698656712030298,1,1.0,2.0,True,SPY
2014-11-18,2014-11-19,2014-11-20,-0.0014545497029565535,1,1.0,2.0,True,SPY
2014-11-24,2014-11-25,2014-11-26,-0.0006661916430601433,1,1.0,2.0,True,SPY
2014-11-26,2014-12-01,2014-12-03,-0.00902104331835607,5,2.0,7.0,True,SPY
2014-12-03,2014-12-04,2014-12-05,-0.0011550745311840194,1,1.0,2.0,True,SPY
2014-12-05,2014-12-16,2014-12-22,-0.048616201552624805,11,6.0,17.0,True,SPY
2014-12-29,2015-01-15,2015-02-12,-0.04617030772575892,17,28.0,45.0,True,SPY
2015-02-18,2015-02-19,2015-02-20,-0.0008237606662802044,1,1.0,2.0,True,SPY
2015-02-20,2015-02-23,2015-02-24,-0.00010739984964025506,3,1.0,4.0,True,SPY
2015-02-24,2015-02-27,2015-03-02,-0.005344187069096784,3,3.0,6.0,True,SPY
2015-03-02,2015-03-11,2015-04-23,-0.0354167722748856,9,43.0,52.0,True,SPY
2015-04-24,2015-05-06,2015-05-14,-0.01720681308930805,12,8.0,20.0,True,SPY
2015-05-18,2015-05-20,2015-05-21,-0.0010709146280245552,2,1.0,3.0,True,SPY
2015-05-21,2015-07-08,2015-07-17,-0.037526930206924325,48,9.0,57.0,True,SPY
2015-07-20,2016-02-11,2016-04-18,-0.13029326834804966,206,67.0,273.0,True,SPY
2016-04-20,2016-05-19,2016-05-27,-0.027932125267992047,29,8.0,37.0,True,SPY
2016-05-27,2016-05-31,2016-06-01,-0.0016444636390817724,4,1.0,5.0,True,SPY
2016-06-02,2016-06-03,2016-06-06,-0.0031669489701898756,1,3.0,4.0,True,SPY
2016-06-08,2016-06-27,2016-07-08,-0.05512384918895219,19,11.0,30.0,True,SPY
2016-07-12,2016-07-13,2016-07-14,-0.0001615865646157344,1,1.0,2.0,True,SPY
2016-07-14,2016-07-15,2016-07-18,-0.0012857257654085297,1,3.0,4.0,True,SPY
2016-07-18,2016-07-19,2016-07-20,-0.0010218712549221465,1,1.0,2.0,True,SPY
