Date,SPY,QQQ,IWM,TLT,GLD
2005-01-03,,33.8267,,,
2005-01-04,,33.208,,,
2005-01-05,,33.0054,,,
2005-01-06,,32.8342,,,
2005-01-07,,33.0151,,,
2005-01-10,,32.9976,,,
2005-01-11,,32.7646,,,
2005-01-12,,33.0407,,,
2005-01-13,,32.6023,,,
2005-01-14,,32.9066,,,
2005-01-18,,33.1583,,,
2005-01-19,,32.6081,,,
2005-01-20,,31.9873,,,
2005-01-21,,31.724,,,
2005-01-24,,31.2806,,,
2005-01-25,,31.4352,,,
2005-01-26,,31.8064,,,
2005-01-27,,31.7699,,,
2005-01-28,,31.6105,,,
2005-01-31,,32.0225,,,
2005-02-01,,32.1292,,,
2005-02-02,,32.182,,,
2005-02-03,,31.8064,,,
2005-02-04,,32.326,,,
2005-02-07,,32.2536,,,
2005-02-08,,32.3172,,,
2005-02-09,,31.7788,,,
2005-02-10,,31.8064,,,
2005-02-11,,32.2819,,,
2005-02-14,,32.424,,,
2005-02-15,,32.6362,,,
2005-02-16,,32.5248,,,
2005-02-17,,32.0863,,,
2005-02-18,,31.9873,,,
2005-02-22,,31.583,,,
2005-02-23,,31.6279,,,
2005-02-24,,32.0324,,,
2005-02-25,93.6948,32.2066,53.9803,61.5197,43.5
2005-02-28,93.0544,31.869,53.6468,60.8581,43.52
2005-03-01,93.5386,32.2166,54.0597,60.6475,43.22
2005-03-02,93.4927,32.2066,53.9634,60.5709,43.25
2005-03-03,93.5301,31.9413,54.0061,60.5342,42.97
2005-03-04,94.7073,32.1292,54.6699,61.1853,43.38
2005-03-07,94.7456,32.5953,54.5439,61.4354,43.47
2005-03-08,94.3665,32.2624,54.026,60.8508,44.03
2005-03-09,93.3232,32.1724,53.4028,59.8565,44.02
2005-03-10,93.5386,32.1292,53.1825,60.2259,44.2
2005-03-11,92.8868,31.8257,53.1418,59.7829,44.43
2005-03-14,93.464,31.9775,53.5427,60.1438,44.03
2005-03-15,92.6812,31.7172,53.1825,59.7642,44.06
2005-03-16,91.9098,31.3617,52.8769,60.1306,44.31
2005-03-17,92.101,31.4352,52.8769,60.3234,43.82
2005-03-18,91.4504,31.262,52.598,59.9423,43.89
2005-03-21,91.1221,31.3246,52.6635,59.777,43.09
2005-03-22,90.2002,30.939,52.2994,59.2683,42.65
2005-03-23,90.274,31.0495,51.9174,59.5524,42.42
2005-03-24,90.3851,31.0554,51.8747,59.6764,42.39
